OCCUPATION,COMPANY_TYPE,N,POSITIVE_SHARE
"transportation, storage, and distribution managers",nonprofit,3712,0.242726
financial analysts and advisors,government,5051,0.146506
building cleaning workers,private,2451,0.168503
occupational health and safety specialists and technicians,private,4192,0.279580
construction equipment operators,private,3227,0.117447
miscellaneous health practitioners and technical workers,public,2020,0.287624
miscellaneous social scientists and related workers,nonprofit,2127,0.439586
tour and travel guides,private,2246,0.242208
insurance sales agents,public,3048,0.255249
special education teachers,private,14061,0.486096
management analysts,public,3867,0.115076
general and operations managers,private,274464,0.158870
purchasing managers,private,16509,0.077594
clergy,private,6631,0.429649
miscellaneous computer occupations,nonprofit,33102,0.270316
computer support specialists,nonprofit,5839,0.137695
"transportation, storage, and distribution managers",public_subsidiary,7060,0.090368
"health teachers, postsecondary",nonprofit,2751,0.407125
miscellaneous business operations specialists,private,20562,0.151493
librarians and media collections specialists,private,3252,0.253690
physical therapist assistants and aides,private,6021,0.452583
"production, planning, and expediting clerks",private,3932,0.110631
physician assistants,private,8955,0.413959
"athletes, coaches, umpires, and related workers",nonprofit,3475,0.313957
purchasing managers,public,6190,0.078191
designers,public,9935,0.147257
general and operations managers,government,7676,0.248176
"barbers, hairdressers, hairstylists and cosmetologists",private,6175,0.195628
"bailiffs, correctional officers, and jailers",government,2146,0.197577
pharmacists,public,2888,0.441482
administrative services and facilities managers,government,3165,0.206635
"bookkeeping, accounting, and auditing clerks",public,3893,0.106345
miscellaneous business operations specialists,government,2853,0.242902
laborers and material movers,public,6539,0.125249
miscellaneous health practitioners and technical workers,nonprofit,2442,0.388616
billing and posting clerks,public,2581,0.083688
environmental engineers,private,2180,0.211927
"compensation, benefits, and job analysis specialists",public,5111,0.205048
"property, real estate, and community association managers",public,3911,0.130146
aerospace engineers,public,3909,0.088514
